,Feature,Pearson,f_classif,RFE-Log,RFE-XGBoost,Logistics,LassoCV,RidgeClassifierCV,Random Forest,XGBoost,LinearSVC,Total
1,PageValues_Scaled,True,True,True,True,True,True,True,True,True,True,10
2,Month_bin_4,True,True,True,True,True,True,True,True,True,True,10
3,ExitRates_Scaled,True,True,True,True,True,True,True,True,True,True,10
4,totalFracProd_Scaled,True,True,True,True,True,True,False,True,True,True,9
5,totalFracAdmin_Scaled,True,True,True,True,True,True,True,True,True,False,9
6,PageValues_Norm,True,True,True,True,True,True,True,True,False,True,9
7,ProductRelated_Duration_Scaled,True,True,True,True,True,False,True,True,True,False,8
8,Month_bin_2,True,True,True,True,False,True,True,False,True,True,8
9,Informational_Duration_Norm_Scaled,True,True,True,True,False,True,True,True,False,True,8
10,Administrative_Duration_Scaled,True,True,True,True,True,False,True,True,True,False,8
11,VisitorType_bin_2,True,True,True,True,False,True,True,False,True,False,7
12,PageValues_Scaled_Norm,True,True,True,True,True,False,True,True,False,False,7
13,PageValues_Scaled_Bin,True,True,True,True,True,False,True,True,False,False,7
14,Month_bin_1,True,True,True,True,False,True,False,False,True,True,7
15,ExitRatesImpute_Scaled,True,True,True,True,True,False,True,True,False,False,7
16,BounceRates_Scaled_Norm,True,True,True,False,True,True,True,True,False,False,7
17,Administrative_Duration_Scaled_Norm,True,True,True,True,True,False,True,True,False,False,7
18,Administrative_Duration_Norm,True,True,True,True,False,True,False,True,False,True,7
19,totalFracInfo_Scaled,True,True,True,True,False,False,True,True,False,False,6
20,VisitorType_bin_1,True,True,True,True,False,False,False,False,True,True,6
21,ProductRelated_Duration_Scaled_Norm,True,True,True,False,True,False,True,True,False,False,6
22,ProductRelated_Duration_Norm,True,True,False,True,False,True,False,True,False,True,6
23,Informational_Duration_Scaled_Norm,True,True,True,True,False,False,True,True,False,False,6
24,Informational_Duration_Scaled,True,True,True,True,False,False,True,True,False,False,6
25,Informational_Duration_Norm,True,True,True,True,False,False,True,True,False,False,6
26,ExitRates_Scaled_Norm,True,True,True,True,False,False,True,True,False,False,6
27,ExitRatesImpute_Scaled_Norm,True,True,True,True,False,False,True,True,False,False,6
28,ExitRatesImpute_Norm,True,True,True,True,False,False,True,True,False,False,6
29,BounceRates_Scaled,True,True,False,True,False,False,True,True,True,False,6
30,Weekend,True,True,True,True,False,True,False,False,False,False,5
31,TrafficType_Bin_2,True,True,True,True,False,True,False,False,False,False,5
32,TrafficType_Bin_1,False,False,True,True,False,True,False,False,True,True,5
33,ProductRelated_Duration_Norm_Scaled,True,True,False,True,False,False,False,True,False,True,5
34,OperatingSystems_Bin_2,True,True,True,True,False,False,False,False,False,True,5
35,OperatingSystems_Bin_1,True,True,True,True,False,True,False,False,False,False,5
36,Month_bin_3,True,True,True,True,False,False,False,False,True,False,5
37,ExitRates_Norm,True,True,True,True,False,False,False,True,False,False,5
38,Browser_Bin_3,True,True,True,True,False,False,False,False,True,False,5
39,Browser_Bin_2,True,True,True,True,False,True,False,False,False,False,5
40,Browser_Bin_1,True,True,True,True,False,False,False,False,True,False,5
41,BounceRates_Norm,True,True,True,False,False,False,True,True,False,False,5
42,Administrative_Duration_Norm_Scaled,True,True,True,True,False,False,False,True,False,False,5
43,TrafficType_Bin_3,True,True,True,True,False,False,False,False,False,False,4
44,SpecialDay_1.0,True,True,True,True,False,False,False,False,False,False,4
45,SpecialDay_0.8,True,True,True,True,False,False,False,False,False,False,4
46,SpecialDay_0.6,True,True,True,True,False,False,False,False,False,False,4
47,SpecialDay_0.4,True,True,True,True,False,False,False,False,False,False,4
48,SpecialDay_0.0,True,True,True,True,False,False,False,False,False,False,4
49,Informational_Duration_Scaled_Bin,True,True,True,False,False,False,True,False,False,False,4
50,VisitorType_bin_3,False,False,True,True,False,False,True,False,False,False,3
51,SpecialDay_0.2,True,True,False,True,False,False,False,False,False,False,3
52,Region_Bin_3,False,False,True,True,False,True,False,False,False,False,3
53,Region_Bin_1,False,False,True,True,False,True,False,False,False,False,3
54,OperatingSystems_Bin_3,True,True,True,False,False,False,False,False,False,False,3
55,Region_Bin_2,False,False,False,True,False,False,False,False,False,False,1
