,Feature,Pearson,f_classif,RFE-Log,RFE-XGBoost,Logistics,LassoCV,RidgeClassifierCV,Random Forest,XGBoost,LinearSVC,Total
1,ProductRelated_Duration_Scaled,True,True,True,True,True,False,True,True,True,True,9
2,PageValues_Norm_Scaled,True,True,True,True,True,True,True,True,False,True,9
3,ExitPageRatio_Norm_Scaled,True,True,True,True,True,True,True,True,False,True,9
4,BounceRates_Scaled,True,True,True,True,True,True,True,True,True,False,9
5,BouncePageRatio_Norm_Scaled,True,True,True,True,True,True,True,True,False,True,9
6,BounceExitW4_Norm_Scaled,True,True,True,True,True,True,True,True,False,True,9
7,ProductRelated_Duration_Norm_Scaled,True,True,True,False,True,True,True,True,False,True,8
8,ProdRelPageRatio_Scaled_Bin,True,True,True,False,True,True,True,True,False,True,8
9,ProdRelExitRatio_Norm_Scaled,True,True,True,False,True,True,True,True,False,True,8
10,PageValues_Scaled_Bin,True,True,True,False,True,True,True,True,False,True,8
11,PageValues_Scaled,True,True,True,True,True,False,True,True,True,False,8
12,ExitRatesImpute_Norm_Scaled,True,True,True,False,True,True,True,True,False,True,8
13,ExitPageRatio_Scaled_Bin,True,True,True,False,True,True,True,True,False,True,8
14,AdminBounceRatio_Norm_Scaled,True,True,True,False,True,True,True,True,False,True,8
15,totalFracProd_Scaled,False,False,True,True,True,False,True,True,True,True,7
16,totalFracAdmin_Scaled,False,False,True,True,True,True,True,True,False,True,7
17,ProductRelated_Duration_Scaled_Norm,True,True,True,False,True,False,True,True,False,True,7
18,ProdRelPageRatio_Norm_Scaled,True,True,True,False,True,False,True,True,False,True,7
19,PageValues_Scaled_Norm,True,True,True,False,True,False,True,True,False,True,7
20,Month_bin_4,False,False,True,True,True,True,True,False,True,True,7
21,Month_bin_2,False,False,True,True,True,True,True,False,True,True,7
22,ExitRates_Scaled,True,True,True,True,True,False,False,True,True,False,7
23,BounceRates_Norm_Scaled,True,True,True,False,True,True,True,False,False,True,7
24,BouncePageRatio_Scaled_Bin,True,True,True,False,True,True,True,False,False,True,7
25,Administrative_Duration_Norm_Scaled,True,True,True,False,True,True,False,True,False,True,7
26,AdminBounceRatio_Scaled_Norm,True,True,True,False,True,False,True,True,False,True,7
27,VisitorType_bin_2,False,False,True,True,True,True,True,False,True,False,6
28,ProdRelPageRatio_Scaled_Norm,True,True,True,False,True,False,True,True,False,False,6
29,ProdRelPageRatio_Scaled,False,False,True,True,True,False,True,True,True,False,6
30,ProdRelBounceRatio_Scaled,False,False,True,True,True,False,True,True,True,False,6
31,ProdRelBounceRatio_Norm_Scaled,False,False,True,False,True,True,True,True,False,True,6
32,ExitRatesImpute_Scaled,True,True,True,True,True,False,False,True,False,False,6
33,BouncePageRatio_Scaled,False,False,True,True,True,False,True,True,True,False,6
34,BounceExitW4_Scaled,True,True,True,True,True,False,False,False,True,False,6
35,BounceExitW2_Scaled,True,True,False,True,False,False,True,True,True,False,6
36,Administrative_Duration_Scaled_Norm,True,True,True,False,True,False,True,True,False,False,6
37,totalFracInfo_Scaled_Bin,False,False,True,False,True,True,True,False,False,True,5
38,Informational_Duration_Scaled,False,False,True,True,True,False,True,False,False,True,5
39,InfoPageRatio_Scaled,False,False,True,True,True,False,True,False,False,True,5
40,InfoPageRatio_Norm_Scaled,True,True,False,True,False,True,False,False,False,True,5
41,InfoExitRatio_Scaled,False,False,True,True,True,False,True,False,False,True,5
42,ExitPageRatio_Scaled,False,False,True,True,True,False,False,True,True,False,5
43,BounceExitW1_Scaled,True,True,False,True,False,False,False,False,True,True,5
44,BounceExitAvg_Scaled,True,True,False,True,False,False,False,True,True,False,5
45,Administrative_Duration_Scaled,False,False,False,True,False,False,True,True,True,True,5
46,totalFracProd_Norm_Scaled,False,False,False,True,False,True,False,True,False,True,4
47,totalFracProd_Bin,False,False,True,False,True,True,False,False,False,True,4
48,totalFracInfo_Scaled,False,False,True,True,True,False,True,False,False,False,4
49,totalFracAdmin_Norm_Scaled,True,True,False,False,False,True,False,True,False,False,4
50,VisitorType_bin_3,False,False,True,False,True,False,True,False,False,True,4
51,TrafficType_Bin_1,False,False,False,True,False,True,False,False,True,True,4
52,Region_Bin_1,False,False,False,True,False,True,False,False,True,True,4
53,ProdRelExitRatio_Scaled_Norm,True,True,False,False,False,False,True,True,False,False,4
54,ProdRelExitRatio_Scaled,False,False,False,True,False,False,True,True,True,False,4
55,Month_bin_3,False,False,False,True,False,True,False,False,True,True,4
56,Month_bin_1,False,False,True,True,True,True,False,False,False,False,4
57,InfoPageRatio_Scaled_Bin,True,True,True,False,True,False,False,False,False,False,4
58,InfoBounceRatio_Scaled,False,False,True,True,True,False,True,False,False,False,4
59,ExitRates_Norm_Scaled,True,True,False,False,False,False,True,True,False,False,4
60,BounceExitW2_Norm_Scaled,True,True,False,True,False,False,True,False,False,False,4
61,BounceExitW1_Norm_Scaled,True,True,False,True,False,False,False,True,False,False,4
62,BounceExitAvg_Norm_Scaled,True,True,False,True,False,False,True,False,False,False,4
63,Weekend,False,False,False,True,False,True,False,False,False,True,3
64,VisitorType_bin_1,False,False,False,True,False,False,False,False,True,True,3
