,Feature,Pearson,f_classif,RFE-Log,RFE-XGBoost,Logistics,LassoCV,RidgeClassifierCV,Random Forest,XGBoost,LinearSVC,Total
1,PageValues_Norm_Scaled,True,True,True,False,True,True,True,True,False,True,8
2,ExitPageRatio_Norm_Scaled,True,True,True,False,True,True,True,True,False,True,8
3,ProdRelPageRatio_Scaled_Bin,True,True,True,True,True,False,True,True,False,False,7
4,PageValues_Scaled_Bin,True,True,True,True,True,False,True,True,False,False,7
5,Month_bin_4,False,False,True,True,True,True,True,False,True,True,7
6,ExitPageRatio_Scaled_Bin,True,True,True,True,True,False,True,True,False,False,7
7,BouncePageRatio_Scaled_Bin,True,True,True,True,True,True,True,False,False,False,7
8,BouncePageRatio_Norm_Scaled,True,True,True,False,False,True,True,True,False,True,7
9,totalFracProd_Scaled,False,False,True,True,True,False,True,True,True,False,6
10,totalFracAdmin_Scaled,False,False,True,True,True,False,True,True,True,False,6
11,ProductRelated_Duration_Scaled_Norm,True,True,True,False,True,False,True,True,False,False,6
12,ProductRelated_Duration_Scaled,False,False,True,True,True,False,True,True,True,False,6
13,ProdRelPageRatio_Norm_Scaled,True,True,True,False,False,True,True,True,False,False,6
14,PageValues_Scaled,True,True,True,True,False,False,False,True,True,False,6
15,Month_bin_2,False,False,True,True,False,True,True,False,True,True,6
16,ExitRates_Scaled,True,True,True,True,True,False,False,False,True,False,6
17,ExitRatesImpute_Norm_Scaled,True,True,True,False,False,True,True,True,False,False,6
18,totalFracInfo_Scaled,False,False,True,True,True,False,True,False,True,False,5
19,VisitorType_bin_2,False,False,True,True,False,True,True,False,True,False,5
20,ProdRelPageRatio_Scaled_Norm,True,True,True,False,False,False,True,True,False,False,5
21,ProdRelExitRatio_Norm_Scaled,True,True,True,False,False,False,False,True,False,True,5
22,ProdRelBounceRatio_Scaled,False,False,True,True,True,False,True,False,True,False,5
23,PageValues_Scaled_Norm,True,True,True,False,False,False,True,True,False,False,5
24,PageValues_Norm,True,True,True,False,False,False,True,True,False,False,5
25,ExitRatesImpute_Scaled,True,True,True,True,True,False,False,False,False,False,5
26,ExitPageRatio_Scaled,False,False,True,True,False,False,True,True,True,False,5
27,totalFracInfo_Scaled_Bin,False,False,True,True,True,False,True,False,False,False,4
28,ProductRelated_Duration_Norm_Scaled,True,True,True,False,False,False,False,True,False,False,4
29,ProductRelated_Duration_Norm,True,True,False,False,False,True,False,True,False,False,4
30,ProdRelPageRatio_Scaled,False,False,False,True,False,False,True,True,True,False,4
31,ProdRelExitRatio_Scaled,False,False,False,True,False,False,True,True,True,False,4
32,ProdRelExitRatio_Norm,True,True,False,False,False,False,False,True,False,True,4
33,Month_bin_1,False,False,True,True,False,True,False,False,False,True,4
34,InfoPageRatio_Scaled_Bin,True,True,True,True,False,False,False,False,False,False,4
35,InfoPageRatio_Scaled,False,False,True,True,True,False,True,False,False,False,4
36,InfoPageRatio_Norm_Scaled,True,True,False,False,False,True,False,False,False,True,4
37,InfoExitRatio_Scaled,False,False,True,True,True,False,True,False,False,False,4
38,InfoBounceRatio_Scaled,False,False,True,True,True,False,True,False,False,False,4
39,BounceRates_Scaled,False,False,True,True,False,False,True,False,True,False,4
40,Administrative_Duration_Norm,False,False,True,False,False,True,False,True,False,True,4
41,AdminBounceRatio_Scaled_Norm,False,False,True,False,True,False,True,True,False,False,4
42,totalFracProd_Bin,False,False,True,False,False,False,True,False,False,True,3
43,VisitorType_bin_1,False,False,False,True,False,False,False,False,True,True,3
44,TrafficType_Bin_1,False,False,False,True,False,True,False,False,True,False,3
45,Region_Bin_1,False,False,False,True,False,True,False,False,True,False,3
46,ProdRelPageRatio_Norm,True,True,False,False,False,False,False,True,False,False,3
47,ProdRelExitRatio_Scaled_Norm,True,True,False,False,False,False,False,True,False,False,3
48,ProdRelBounceRatio_Norm_Scaled,False,False,True,False,False,True,False,True,False,False,3
49,Month_bin_3,False,False,False,True,False,True,False,False,True,False,3
50,Informational_Duration_Scaled,False,False,True,True,False,False,True,False,False,False,3
51,ExitPageRatio_Scaled_Norm,True,True,False,False,False,False,False,True,False,False,3
